tarih,marka,seri_adi,varyant,kategori1,hacim,kategori2,platform,fiyat,durum,url,satici
2026-08-05 15:24,Trixie,Matara,Trixie Mr.Shark 500 Ml - Su Şişesi,,500ml,matara,popcorner,2100.0,ok,https://popcorner.com.tr/products/mr-shark-trixie-bottle-500ml-41-200,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mrs. Unicorn 350ml - Su Şişesi,,350ml,matara,popcorner,1850.0,ok,https://popcorner.com.tr/products/mrs-unicorn-trixie-bottle-350ml-40-200,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr.Frog 350 Ml - Su Şişesi,,350ml,matara,popcorner,1850.0,ok,https://popcorner.com.tr/products/frog-trixie-bottle-350ml-40-200,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr.Dino 350 Ml - Su Şişesi,,350ml,matara,popcorner,1850.0,ok,https://popcorner.com.tr/products/mr-dino-trixie-bottle-350ml-40-200,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mrs.Bumblebee 500 Ml - Su Şişesi,,500ml,matara,popcorner,2100.0,ok,https://popcorner.com.tr/products/mrs-bumblebee-trixie-bottle-500ml-41-200,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mrs.Elephant 500 Ml - Su Şişesi,,500ml,matara,popcorner,2100.0,ok,https://popcorner.com.tr/products/trixie-mrs-elephant-500ml-su-sisesi,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mrs.Cat 350 Ml - Su Şişesi,,350ml,matara,popcorner,1850.0,ok,https://popcorner.com.tr/products/mrs-cat-trixie-bottle-350ml-40-200,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr.Crocodile 350 Ml - Su Şişesi,,350ml,matara,popcorner,1295.0,ok,https://popcorner.com.tr/products/mr-crocodile-trixie-bottle-350ml-40-200,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mrs.Elephant 350 Ml - Su Şişesi,,350ml,matara,popcorner,1850.0,ok,https://popcorner.com.tr/products/trixie-mrs-elephant-350ml-su-sisesi,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr.Lion 350 Ml - Su Şişesi,,350ml,matara,popcorner,1850.0,ok,https://popcorner.com.tr/products/trixie-mr-lion-350ml-su-sisesi,popcorner
