tarih,magaza,kod,ad,fiyat,url
2026-08-13 14:47,SipnJoy,HBC0000FTTFDT,SipnJoy - Termos Yemek Kabı | 360 ml - Dino Roar,2090.0,https://www.hepsiburada.com/sipnjoy-termos-yemek-kabi-360-ml-dino-roar-pm-HBC0000FTTFDT
2026-08-13 14:47,SipnJoy,HBC0000G0K7WN,SipnJoy - SipSquad Plus Çocuk Su Termosu  | 480 ml - Mermaid Dream,2390.0,https://www.hepsiburada.com/sipnjoy-sipsquad-plus-cocuk-su-termosu-480-ml-mermaid-dream-pm-HBC0000G0K7WN
2026-08-13 14:47,SipnJoy,HBC0000FU4NKD,SipnJoy - Termos Yemek Kabı | 360 ml - Fairy Sparkle,2090.0,https://www.hepsiburada.com/sipnjoy-termos-yemek-kabi-360-ml-fairy-sparkle-pm-HBC0000FU4NKD
2026-08-13 14:47,SipnJoy,HBCV0000FTTM3R,SipnJoy - FlipSip Çocuk Su Termosu | 360 ml - Turtle Voyage,2090.0,https://www.hepsiburada.com/sipnjoy-flipsip-cocuk-su-termosu-360-ml-turtle-voyage-p-HBCV0000FTTM3R
2026-08-13 14:47,SipnJoy,HBC0000FU4MAU,SipnJoy - Termos Yemek Kabı | 360 ml - Star Explorer,2090.0,https://www.hepsiburada.com/sipnjoy-termos-yemek-kabi-360-ml-star-explorer-pm-HBC0000FU4MAU
2026-08-13 14:47,SipnJoy,HBCV0000G0KZF9,Sipnjoy - Flipsip Çocuk Su Termosu | 360 ml - Ballerina Sparkle,2090.0,https://www.hepsiburada.com/sipnjoy-flipsip-cocuk-su-termosu-360-ml-ballerina-sparkle-p-HBCV0000G0KZF9
2026-08-13 14:47,SipnJoy,HBC0000G0K7W6,SipnJoy - HandleHug Tumbler | 550 ml - Pudra Pembe,2190.0,https://www.hepsiburada.com/sipnjoy-handlehug-tumbler-550-ml-pudra-pembe-pm-HBC0000G0K7W6
2026-08-13 14:47,SipnJoy,HBC0000G0K7WP,SipnJoy - SipSquad Plus Çocuk Su Termosu  | 480 ml - Star Explorer,2390.0,https://www.hepsiburada.com/sipnjoy-sipsquad-plus-cocuk-su-termosu-480-ml-star-explorer-pm-HBC0000G0K7WP
2026-08-13 14:47,SipnJoy,HBC0000FTT9N7,SipnJoy - FlipSip Çocuk Su Termosu | 360 ml - Jolly Elephant,2090.0,https://www.hepsiburada.com/sipnjoy-flipsip-cocuk-su-termosu-360-ml-jolly-elephant-pm-HBC0000FTT9N7
2026-08-13 14:47,SipnJoy,HBC0000G0K8EI,SipnJoy - Flipsip Çocuk Su Termosu | 360 ml - Adventure Trail,2090.0,https://www.hepsiburada.com/sipnjoy-flipsip-cocuk-su-termosu-360-ml-adventure-trail-pm-HBC0000G0K8EI
